timestamp,flux_nA
2025-11-02T07:30:33.790,0.5499999999999999
2025-11-02T07:30:34.288,0.54
2025-11-02T07:30:34.788,0.56
2025-11-02T07:30:35.297,0.54
2025-11-02T07:30:35.813,0.54
2025-11-02T07:30:36.323,0.54
2025-11-02T07:30:36.828,0.5499999999999999
2025-11-02T07:30:37.361,0.54
2025-11-02T07:30:37.853,0.56
2025-11-02T07:30:38.352,0.5199999999999999
2025-11-02T07:30:38.846,0.57
2025-11-02T07:30:39.352,0.56
2025-11-02T07:30:39.853,0.53
2025-11-02T07:30:40.346,0.53
2025-11-02T07:30:40.856,0.5499999999999999
2025-11-02T07:30:41.350,0.54
2025-11-02T07:30:41.858,0.54
2025-11-02T07:30:42.348,0.51
2025-11-02T07:30:42.847,0.54
2025-11-02T07:30:43.356,0.5499999999999999
2025-11-02T07:30:43.870,0.5499999999999999
2025-11-02T07:30:44.367,0.51
2025-11-02T07:30:44.880,0.56
2025-11-02T07:30:45.388,0.51
2025-11-02T07:30:45.911,0.54
2025-11-02T07:30:46.410,0.5499999999999999
2025-11-02T07:30:46.912,0.5199999999999999
2025-11-02T07:30:48.130,0.54
2025-11-02T07:30:48.451,0.54
2025-11-02T07:30:48.974,0.5199999999999999
2025-11-02T07:30:49.460,0.57
2025-11-02T07:30:49.961,0.5499999999999999
2025-11-02T07:30:50.473,0.5499999999999999
2025-11-02T07:30:51.027,0.51
2025-11-02T07:30:51.473,0.51
2025-11-02T07:30:51.974,0.53
2025-11-02T07:30:52.476,0.53
2025-11-02T07:30:52.989,0.51
2025-11-02T07:30:53.489,0.53
2025-11-02T07:30:53.992,0.5199999999999999
2025-11-02T07:30:54.484,0.53
2025-11-02T07:30:54.992,0.53
2025-11-02T07:30:55.508,0.51
2025-11-02T07:30:56.008,0.51
2025-11-02T07:30:56.506,0.5
2025-11-02T07:30:57.008,0.5
2025-11-02T07:30:57.499,0.5199999999999999
2025-11-02T07:30:58.001,0.48
2025-11-02T07:30:58.506,0.48
2025-11-02T07:30:59.015,0.51
2025-11-02T07:30:59.502,0.51
2025-11-02T07:31:00.004,0.5
2025-11-02T07:31:00.506,0.51
2025-11-02T07:31:01.005,0.47000000000000003
2025-11-02T07:31:01.569,0.5
2025-11-02T07:31:02.005,0.5
2025-11-02T07:31:02.505,0.5
2025-11-02T07:31:03.009,0.48999999999999994
2025-11-02T07:31:03.537,0.5199999999999999
2025-11-02T07:31:04.046,0.46
2025-11-02T07:31:04.531,0.51
2025-11-02T07:31:05.025,0.5199999999999999
2025-11-02T07:31:05.518,0.5199999999999999
2025-11-02T07:31:06.037,0.47000000000000003
2025-11-02T07:31:06.544,0.48
2025-11-02T07:31:07.038,0.47000000000000003
2025-11-02T07:31:07.538,0.5
2025-11-02T07:31:08.048,0.47000000000000003
2025-11-02T07:31:08.544,0.5
2025-11-02T07:31:09.043,0.5
2025-11-02T07:31:09.531,0.51
2025-11-02T07:31:10.041,0.47000000000000003
2025-11-02T07:31:10.539,0.5
2025-11-02T07:31:11.093,0.46
2025-11-02T07:31:11.553,0.48
2025-11-02T07:31:12.047,0.48999999999999994
2025-11-02T07:31:12.558,0.48999999999999994
2025-11-02T07:31:13.058,0.45
2025-11-02T07:31:13.558,0.48999999999999994
2025-11-02T07:31:14.054,0.48
2025-11-02T07:31:14.553,0.48
2025-11-02T07:31:15.054,0.45
2025-11-02T07:31:15.557,0.48
2025-11-02T07:31:16.057,0.48
2025-11-02T07:31:16.547,0.48999999999999994
2025-11-02T07:31:17.050,0.44
2025-11-02T07:31:17.562,0.48
2025-11-02T07:31:18.050,0.5
2025-11-02T07:31:18.564,0.47000000000000003
2025-11-02T07:31:19.057,0.48
2025-11-02T07:31:19.557,0.48
2025-11-02T07:31:20.061,0.47000000000000003
2025-11-02T07:31:20.553,0.5
2025-11-02T07:31:21.054,0.45
2025-11-02T07:31:21.550,0.47000000000000003
2025-11-02T07:31:22.057,0.5
2025-11-02T07:31:22.563,0.46
2025-11-02T07:31:23.059,0.46
2025-11-02T07:31:23.556,0.5
2025-11-02T07:31:24.894,0.48
2025-11-02T07:31:25.093,0.48
2025-11-02T07:31:25.553,0.47000000000000003
2025-11-02T07:31:26.053,0.47000000000000003
2025-11-02T07:31:26.552,0.47000000000000003
2025-11-02T07:31:27.066,0.46
2025-11-02T07:31:27.548,0.48
2025-11-02T07:31:28.050,0.44
2025-11-02T07:31:28.557,0.5
2025-11-02T07:31:29.052,0.48999999999999994
2025-11-02T07:31:29.547,0.46
2025-11-02T07:31:30.058,0.46
2025-11-02T07:31:30.549,0.46
2025-11-02T07:31:31.056,0.47000000000000003
2025-11-02T07:31:31.551,0.43
2025-11-02T07:31:32.056,0.44
2025-11-02T07:31:32.553,0.5
2025-11-02T07:31:33.051,0.5
2025-11-02T07:31:33.559,0.47000000000000003
2025-11-02T07:31:34.072,0.44
2025-11-02T07:31:34.578,0.45
2025-11-02T07:31:35.060,0.47000000000000003
2025-11-02T07:31:35.585,0.44
2025-11-02T07:31:36.080,0.45
2025-11-02T07:31:36.591,0.44
2025-11-02T07:31:37.084,0.44
2025-11-02T07:31:37.577,0.48999999999999994
2025-11-02T07:31:38.086,0.46
